Stream,Core Subjects,Optional Subject,Hobbies,Extracurricular Activities,Preferred Career,Possible Courses
Science_PCM,"Physics, Chemistry, Math",Biology,Dance,Robotics Club,Doctor,"B.Sc (Biotech), B.Sc (Chemistry), B.Sc (Data Science), B.Sc (Math), B.Sc (Nursing), B.Sc (Physics)"
Science_PCB,"Physics, Chemistry, Biology",Computer Science,Dance,MUN,Researcher,"B.Sc (Biotech), B.Sc (Chemistry), B.Sc (Data Science), B.Sc (Math), B.Sc (Nursing), B.Sc (Physics)"
Arts,"History, Political Science, Sociology",Fine Arts,Music,Music Band,Journalist,"BA (Education), BA (English), BA (Fine Arts), BA (History), BA (Journalism), BA (Political Science)"
Science_PCM,"Physics, Chemistry, Math",Biology,Poetry,Olympiads,Biotechnologist,"B.Sc (Biology), B.Sc (Biotech), B.Sc (Chemistry), B.Sc (Data Science), B.Sc (Math), B.Sc (Nursing)"
Arts,"History, Political Science, Sociology",Fine Arts,Fitness,Olympiads,Teacher,"B.Ed, B.P.Ed, B.Sc (Sports Science), BA (Education), BA (English), BA (Fine Arts)"
Arts,"History, Political Science, Sociology",Sociology,Poetry,Drama Club,Artist,"BA (Education), BA (English), BA (Fine Arts), BA (History), BA (Journalism), BA (Political Science)"
Science_PCMB,"Physics, Chemistry, Math, Biology",Biology,Investing,Literature Fest,Doctor,"B.Sc (Biotech), B.Sc (Chemistry), B.Sc (Data Science), B.Sc (Math), B.Sc (Nursing), B.Sc (Physics)"
Commerce,"Accounts, Business Studies, Economics",Entrepreneurship,Blogging,Science Fair,Financial Analyst,"Actuarial Science, B.Com (Hons), BBA, BBA (Finance), CA, CMA"
Science_PCMB,"Physics, Chemistry, Math, Biology",Biology,Gaming,Music Band,Engineer,"B.Sc (Biotech), B.Sc (Chemistry), B.Sc (Data Science), B.Sc (Math), B.Sc (Nursing), B.Sc (Physics)"
Science_PCMB,"Physics, Chemistry, Math, Biology",Informatics Practices,Music,Robotics Club,Sports Scientist,"B.P.Ed, B.Sc (Biotech), B.Sc (Chemistry), B.Sc (Data Science), B.Sc (Math), B.Sc (Nursing)"
Science_PCM,"Physics, Chemistry, Math",Physical Education,Fitness,MUN,IT Specialist,"B.P.Ed, B.Sc (Biotech), B.Sc (Chemistry), B.Sc (Data Science), B.Sc (IT), B.Sc (Math)"
Science_PCM,"Physics, Chemistry, Math",Informatics Practices,Chess,Entrepreneurship Club,Biotechnologist,"B.Sc (Biology), B.Sc (Biotech), B.Sc (Chemistry), B.Sc (Data Science), B.Sc (Math), B.Sc (Nursing)"
Science_PCMB,"Physics, Chemistry, Math, Biology",Computer Science,Dance,MUN,Engineer,"B.Sc (Biotech), B.Sc (Chemistry), B.Sc (Data Science), B.Sc (Math), B.Sc (Nursing), B.Sc (Physics)"
Science_PCB,"Physics, Chemistry, Biology",Informatics Practices,Gaming,Olympiads,Sports Scientist,"B.P.Ed, B.Sc (Biotech), B.Sc (Chemistry), B.Sc (Data Science), B.Sc (Math), B.Sc (Nursing)"
Science_PCM,"Physics, Chemistry, Math",Physical Education,Blogging,Drama Club,Researcher,"B.P.Ed, B.Sc (Biotech), B.Sc (Chemistry), B.Sc (Data Science), B.Sc (Math), B.Sc (Nursing)"
